RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation0_Scenario1,11.25,1.42,1.85,14.52,1
Generation0_Scenario2,22.49,2.88,2.66,28.03,2
Generation0_Scenario3,11.22,1.68,2.23,15.13,1
Generation0_Scenario4,11.30,1.55,2.16,15.01,1
Generation0_Scenario5,11.24,1.47,2.19,14.90,1
Generation0_Scenario6,11.26,1.45,2.03,14.75,1
Generation0_Scenario7,11.24,1.54,2.01,14.79,1
Generation0_Scenario8,11.26,1.47,1.37,14.11,1
Generation0_Scenario9,11.22,1.43,1.94,14.59,1
Generation0_Scenario10,11.18,1.47,1.53,14.18,1
Generation0_Scenario11,11.24,1.51,1.78,14.52,1
Generation0_Scenario12,11.26,1.43,2.42,15.12,1
Generation0_Scenario13,11.23,1.50,1.69,14.42,1
Generation0_Scenario14,11.22,1.53,2.20,14.95,1
Generation0_Scenario15,11.25,1.48,1.65,14.37,1
Generation0_Scenario16,11.22,1.55,2.30,15.07,1
Generation0_Scenario17,11.25,1.54,1.99,14.77,1
Generation0_Scenario18,11.22,1.51,2.07,14.80,1
Generation0_Scenario19,11.26,1.41,1.37,14.04,1
Generation0_Scenario20,11.23,1.45,2.09,14.78,1
Generation0_Scenario21,11.23,1.44,2.29,14.96,1
Generation0_Scenario22,11.22,1.54,2.02,14.78,1
Generation0_Scenario23,11.25,1.49,2.82,15.56,1
Generation0_Scenario24,11.26,1.59,3.01,15.86,1
Generation0_Scenario25,11.27,1.49,2.09,14.85,1
Generation0_Scenario26,11.27,1.47,1.53,14.27,1
Generation0_Scenario27,11.22,1.43,1.37,14.02,1
Generation0_Scenario28,11.25,1.46,1.70,14.42,1
Generation0_Scenario29,11.25,1.42,1.56,14.23,1
Generation0_Scenario30,11.25,1.40,1.48,14.13,1
Generation0_Scenario31,11.23,1.46,1.48,14.18,1
Generation0_Scenario32,11.25,1.53,1.95,14.74,1
Generation0_Scenario33,11.22,1.42,2.08,14.73,1
Generation0_Scenario34,11.22,1.45,1.62,14.28,1
Generation0_Scenario35,11.24,1.46,2.20,14.90,1
Generation0_Scenario36,11.21,1.68,1.93,14.83,1
Generation0_Scenario37,11.23,1.44,1.88,14.55,1
Generation0_Scenario38,11.24,1.41,1.93,14.59,1
Generation0_Scenario39,11.24,1.42,1.65,14.30,1
Generation0_Scenario40,11.22,1.44,1.46,14.12,1
Generation0_Scenario41,11.25,1.47,1.57,14.28,1
Generation0_Scenario42,11.22,1.53,1.56,14.31,1
Generation0_Scenario43,11.18,1.46,1.42,14.07,1
Generation0_Scenario44,11.24,1.45,2.23,14.92,1
Generation0_Scenario45,11.25,1.43,2.19,14.87,1
Generation0_Scenario46,22.50,2.99,2.78,28.27,2
Generation0_Scenario47,11.25,1.58,2.17,15.00,1
Generation0_Scenario48,11.20,1.45,1.91,14.56,1
Generation0_Scenario49,11.24,1.53,2.05,14.82,1
Generation0_Scenario50,11.23,1.52,2.16,14.90,1
Generation1_Scenario1,11.22,1.44,1.95,14.62,1
Generation1_Scenario2,11.24,1.50,2.39,15.13,1
Generation1_Scenario3,11.24,1.51,2.03,14.78,1
Generation1_Scenario4,11.26,1.53,1.85,14.64,1
Generation1_Scenario5,11.24,1.49,1.91,14.64,1
Generation1_Scenario6,11.25,1.40,1.73,14.38,1
Generation1_Scenario7,11.22,1.47,2.27,14.96,1
Generation1_Scenario8,11.22,1.49,1.53,14.23,1
Generation1_Scenario9,11.24,1.42,1.93,14.59,1
Generation1_Scenario10,11.26,1.55,2.65,15.46,1
Generation1_Scenario11,11.25,1.42,2.12,14.79,1
Generation1_Scenario12,11.24,1.46,2.59,15.29,1
Generation1_Scenario13,11.25,1.44,1.76,14.46,1
Generation1_Scenario14,11.27,1.40,2.37,15.04,1
Generation1_Scenario15,11.25,1.52,1.62,14.39,1
