record_name,c_x,c_y,c_type,adc_heading,adc_speed,obs_id,obs_heading,obs_speed,obs_type,obs_len,obs_wid,obs_height,speeding_x,speeding_y,speeding_value,speeding_duration,speeding_heading,lanes_speed_limit,uslc_x,uslc_y,uslc_duration,uslc_heading,fastAccl_x,fastAccl_y,fastAccl_value,fastAccl_duration,fastAccl_heading,hardBrake_x,hardBrake_y,hardBrake_value,hardBrake_duration,hardBrake_heading,c_counter,speeding_counter,uslc_counter,fastAccl_counter,hardBrake_counter,totalV
Generation0_Scenario32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('718_1_-1'|91.0)|('436_1_-1'|91.0)},0,0,0,0,0,0,0,0,0,587005.7968328019,4140567.485814116,-4.004029692537675,0.5700111389160156,-0.24718332836566637,0,0,0,0,1,1
Generation0_Scenario34,0,0,0,0,0,0,0,0,0,0,0,0,586253.8975123594,4141261.00514802,9.90284103822589,0.8301117420196533,1.3017437436307606,{('2826_1_-2'|60.0)|('316_1_-1'|117.0)|('102a_1_-1'|30.0)|('803_1_-1'|117.0)|('2825_1_-2'|60.0)|('316_1_-2'|117.0)|('13a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation0_Scenario41,588331.0409670179,4140976.809038194,1,1.2704026905183037,10.970407430934468,29346,-1.777549489437476,14.860899540322071,1,1.5325013794490532,0.8708966904798758,2.4075449180986275,0,0,0,0,0,{('650_1_-1'|104.0)},0,0,0,0,588331.5350136216,4140978.3995878375,4.0,0.210160493850708,1.269156999876988,588329.9838448762,4140973.3908718987,-4.006413913593231,0.5200119018554688,1.271210772064003,1,0,0,1,1,3
Generation1_Scenario45,587453.3789561379,4140743.242244907,2,-0.8770060965501001,32.47044769941377,17238,1.9608345258534834,9.649927448626732,0,0.3691530949663766,0.5783686781728252,1.1587875487094594,0,0,0,0,0,{('154_1_-1'|72.0)|('1941_1_-2'|72.0)|('1941_1_-1'|72.0)|('1940_1_-2'|72.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Generation8_Scenario2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('236_1_-2'|65.0)|('363_1_-1'|104.0)|('236_1_-1'|65.0)|('362_1_-1'|117.0)},0,0,0,0,0,0,0,0,0,585823.5444825672,4139996.239164459,-4.0202874498834005,0.6599850654602051,-1.7780781728253425,0,0,0,0,1,1
Generation10_Scenario24,587482.4094411195,4140509.9419612717,1,-1.532181170349468,8.972968383321456,12381,-1.473352907494674,38.633904529122276,2,10.716197010170829,2.1739302772226363,2.2445691875846365,0,0,0,0,0,{('513_1_-2'|72.0)},0,0,0,0,587482.4442074096,4140509.1463430314,4.0,0.06006431579589844,-1.5258975622930513,0,0,0,0,0,1,0,0,1,0,2
Generation11_Scenario4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('408_1_-1'|56.0)},0,0,0,0,0,0,0,0,0,586759.2964879135,4140814.7376263253,-4.011676883864165,0.38007044792175293,2.889288533577865,0,0,0,0,1,1
Generation11_Scenario19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('3126_1_-1'|104.0)|('609_1_-1'|104.0)},0,0,0,0,0,0,0,0,0,588081.328981371,4140682.120325603,-4.032776009545922,0.4099893569946289,-1.8236357938743377,0,0,0,0,1,1
Generation12_Scenario8,0,0,0,0,0,0,0,0,0,0,0,0,586276.7263951858,4141285.109605997,6.347560059689901,0.16993355751037598,2.575402576242668,{('81a_1_-1'|30.0)|('2807_1_-2'|117.0)|('100a_1_-1'|30.0)|('396_1_-2'|117.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation17_Scenario47,0,0,0,0,0,0,0,0,0,0,0,0,586252.98299237,4141261.3498378005,7.178808181203639,1.0800108909606934,1.2768730869211344,{('2825_1_-1'|60.0)|('2826_1_-2'|60.0)|('182_1_-1'|117.0)|('2825_1_-2'|60.0)|('13a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation19_Scenario32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('1563_1_-3'|117.0)|('1564_1_-3'|72.0)|('183_1_-3'|117.0)|('1564_1_-4'|72.0)},0,0,0,0,0,0,0,0,0,586308.7358974947,4141457.0327701494,-4.009715947348463,0.07998108863830566,1.2233956999043212,0,0,0,0,1,1
Generation21_Scenario28,586299.1553154137,4141424.515731501,0,1.3050608298003397,39.5794907692181,16052,1.3570719954315469,49.25915955339109,2,11.043291237950182,2.3353264829172597,2.0350041171350632,0,0,0,0,0,{('1563_1_-4'|117.0)|('183_1_-3'|117.0)|('1564_1_-4'|72.0)|('183_1_-4'|117.0)|('811_1_-1'|117.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Generation27_Scenario34,0,0,0,0,0,0,0,0,0,0,0,0,586253.9282239133,4141260.9749725806,8.878737552314565,0.45001888275146484,1.3060437957411786,{('2825_1_-2'|60.0)|('182_1_-2'|117.0)|('13a_1_-1'|30.0)|('2826_1_-2'|60.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation38_Scenario18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('236_1_-2'|65.0)|('363_1_-1'|104.0)|('236_1_-1'|65.0)|('362_1_-1'|117.0)},0,0,0,0,0,0,0,0,0,585823.2879138886,4139996.236712896,-4.039722249841138,0.6399884223937988,-1.7685056787897118,0,0,0,0,1,1
Generation38_Scenario39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('258a_1_-1'|30.0)|('451_1_-1'|104.0)},0,0,0,0,0,0,0,0,0,587214.2895333106,4140362.704856577,-4.029563757079363,0.010040760040283203,0.3318296000634029,0,0,0,0,1,1
Generation40_Scenario25,0,0,0,0,0,0,0,0,0,0,0,0,586253.1366789206,4141261.2703432776,9.52254431999064,1.0000348091125488,1.2740419639447271,{('2825_1_-1'|60.0)|('2826_1_-2'|60.0)|('316_1_-1'|117.0)|('182_1_-1'|117.0)|('2825_1_-2'|60.0)|('13a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation40_Scenario49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('496_1_-1'|65.0)|('810_1_-1'|65.0)},0,0,0,0,0,0,0,0,0,587920.5210066772,4141180.249096694,-4.006060210214513,0.04997563362121582,-0.2658737697923317,0,0,0,0,1,1
Generation41_Scenario18,0,0,0,0,0,0,0,0,0,0,0,0,586281.1078264595,4141283.4134711954,9.458485907778044,0.8800363540649414,2.7590188011369747,{('81a_1_-1'|30.0)|('2807_1_-2'|117.0)|('100a_1_-1'|30.0)|('396_1_-2'|117.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation43_Scenario45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('718_1_-1'|91.0)|('436_1_-1'|91.0)},0,0,0,0,0,0,0,0,0,587007.3432480152,4140567.089195622,-4.008442755920004,0.3796577453613281,-0.2515447253974279,0,0,0,0,1,1
Generation44_Scenario33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('408_1_-1'|56.0)},0,0,0,0,0,0,0,0,0,586761.0062617331,4140814.09682109,-4.0178306717844094,0.4906761646270752,2.8889853298937975,0,0,0,0,1,1
Generation45_Scenario25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('650_1_-1'|104.0)|('650_1_-2'|104.0)},0,0,0,0,0,0,0,0,0,588334.4871294883,4140986.2033888306,-4.027340627410486,0.34999799728393555,1.2691481853217983,0,0,0,0,1,1
Generation48_Scenario46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('288a_1_-1'|30.0)|('210_1_-5'|72.0)},0,0,0,0,0,0,0,0,0,586279.336088357,4141484.599251106,-4.020512741291265,0.4801924228668213,-0.4015264551372084,0,0,0,0,1,1
Generation50_Scenario15,586712.5106511258,4140257.977881224,0,-1.8447734921042827,24.584899138119543,8398,-1.8273890693370698,50.136093777850675,2,9.723929410563336,1.9329869385180247,3.9834500135053936,0,0,0,0,0,{('743_1_-1'|91.0)|('770_1_-1'|91.0)},0,0,0,0,0,0,0,0,0,586711.0405994486,4140252.7820829577,-4.000851361803592,0.19003653526306152,-1.847570925216592,1,0,0,0,1,2
Generation50_Scenario50,0,0,0,0,0,0,0,0,0,0,0,0,586144.84362362,4140857.269873645,5.008062748620009,0.14000535011291504,-1.700099504951795,{('863_1_-1'|117.0)|('295_1_-1'|117.0)|('215a_1_-1'|30.0)|('1609_1_-1'|48.0)|('869_1_-1'|117.0)|('321_1_-4'|117.0)|('270a_1_-1'|30.0)|('77a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation52_Scenario13,586145.8689768102,4140795.5455863536,0,1.2814212895188213,39.28883004102773,28342,1.357035171385788,61.1934953006302,2,8.31764450213914,2.378547976457719,2.2035226238629573,0,0,0,0,0,{('1549_1_-4'|117.0)|('1549_1_-3'|117.0)},0,0,0,0,0,0,0,0,0,586151.2503341691,4140814.0199903427,-4.020870822765501,0.059999942779541016,1.2856233419939151,1,0,0,0,1,2
Generation52_Scenario14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('1539_1_-4'|104.0)|('185_1_-3'|104.0)|('1539_1_-3'|104.0)|('1540_1_-4'|104.0)},0,0,0,0,586198.210166137,4140343.9532584744,4.0,0.3599588871002197,1.6251681021748121,0,0,0,0,0,0,0,0,1,0,1
Generation53_Scenario24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('506_1_-1'|104.0)|('507_1_-1'|104.0)|('320a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,588049.6451702637,4140611.5639750236,-4.021451927692496,0.24004483222961426,0.3161679213045292,0,0,0,0,1,1
Generation53_Scenario50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('1563_1_-4'|117.0)|('1564_1_-5'|72.0)|('1564_1_-4'|72.0)},0,0,0,0,0,0,0,0,0,586310.4100938311,4141457.1217093715,-4.015764359885865,0.1999962329864502,1.2652024528537575,0,0,0,0,1,1
