RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation0_Scenario1,11.24,1.38,1.80,14.42,1
Generation0_Scenario2,11.24,1.43,2.09,14.76,1
Generation0_Scenario3,11.23,1.46,3.10,15.79,1
Generation0_Scenario4,11.24,1.51,1.56,14.31,1
Generation0_Scenario5,11.21,1.59,2.28,15.08,1
Generation0_Scenario6,11.25,1.44,2.31,15.00,1
Generation0_Scenario7,11.22,1.41,2.14,14.78,1
Generation0_Scenario8,11.24,1.43,1.60,14.27,1
Generation0_Scenario9,11.26,1.58,2.26,15.09,1
Generation0_Scenario10,11.22,1.47,2.44,15.13,1
Generation0_Scenario11,11.24,1.52,1.95,14.71,1
Generation0_Scenario12,11.23,1.50,2.39,15.12,1
Generation0_Scenario13,11.27,1.52,2.50,15.29,1
Generation0_Scenario14,11.21,1.44,3.24,15.89,1
Generation0_Scenario15,11.21,1.45,1.73,14.40,1
Generation0_Scenario16,11.26,1.42,2.27,14.95,1
Generation0_Scenario17,11.25,1.47,1.58,14.30,1
Generation0_Scenario18,11.25,1.43,2.45,15.13,1
Generation0_Scenario19,11.23,1.43,2.10,14.76,1
Generation0_Scenario20,11.23,1.39,2.08,14.70,1
Generation0_Scenario21,11.22,1.54,2.25,15.00,1
Generation0_Scenario22,11.25,1.46,2.39,15.10,1
Generation0_Scenario23,11.26,1.44,2.04,14.74,1
Generation0_Scenario24,11.27,1.40,1.83,14.50,1
Generation0_Scenario25,11.21,1.49,1.47,14.17,1
Generation0_Scenario26,11.24,1.43,2.05,14.71,1
Generation0_Scenario27,11.26,1.48,2.11,14.86,1
Generation0_Scenario28,11.22,1.45,2.05,14.72,1
Generation0_Scenario29,11.22,1.39,1.29,13.89,1
Generation0_Scenario30,11.24,1.50,1.99,14.73,1
Generation0_Scenario31,11.24,1.44,1.60,14.28,1
Generation0_Scenario32,11.19,1.44,1.97,14.60,1
Generation0_Scenario33,11.25,1.42,1.88,14.55,1
Generation0_Scenario34,11.25,1.46,3.34,16.05,1
Generation0_Scenario35,11.22,1.43,1.72,14.37,1
Generation0_Scenario36,11.26,1.50,2.01,14.77,1
Generation0_Scenario37,11.28,1.46,2.36,15.10,1
Generation0_Scenario38,11.24,1.40,1.75,14.39,1
Generation0_Scenario39,11.23,1.46,1.76,14.44,1
Generation0_Scenario40,11.22,1.39,1.82,14.42,1
Generation0_Scenario41,11.21,1.46,2.79,15.46,1
Generation0_Scenario42,11.24,1.44,2.37,15.05,1
Generation0_Scenario43,11.21,1.53,2.04,14.78,1
Generation0_Scenario44,11.25,1.42,1.95,14.61,1
Generation0_Scenario45,11.23,1.45,1.84,14.53,1
Generation0_Scenario46,11.24,1.38,2.19,14.81,1
Generation0_Scenario47,11.22,1.42,2.44,15.08,1
Generation0_Scenario48,11.23,1.41,2.15,14.79,1
Generation0_Scenario49,22.50,2.95,3.53,28.99,2
Generation0_Scenario50,11.21,1.41,2.29,14.90,1
Generation1_Scenario1,11.24,1.56,2.31,15.11,1
Generation1_Scenario2,11.28,1.51,2.33,15.12,1
Generation1_Scenario3,11.26,1.43,2.00,14.69,1
Generation1_Scenario4,11.22,2.53,2.55,16.30,1
Generation1_Scenario5,11.25,1.42,1.91,14.57,1
Generation1_Scenario6,11.25,1.44,2.46,15.15,1
Generation1_Scenario7,22.49,3.00,2.80,28.29,2
Generation1_Scenario8,11.21,1.42,2.17,14.79,1
Generation1_Scenario9,11.24,1.46,2.60,15.30,1
Generation1_Scenario10,11.24,1.43,1.92,14.59,1
Generation1_Scenario11,11.27,1.41,2.06,14.74,1
Generation1_Scenario12,11.24,1.43,2.89,15.56,1
Generation1_Scenario13,11.26,1.44,2.33,15.03,1
Generation1_Scenario14,11.22,1.41,1.77,14.40,1
Generation1_Scenario15,11.26,1.44,1.54,14.24,1
Generation1_Scenario16,11.21,1.41,1.86,14.47,1
Generation1_Scenario17,11.25,1.49,1.65,14.39,1
Generation1_Scenario18,11.28,1.57,2.06,14.90,1
Generation1_Scenario19,11.26,1.51,2.54,15.31,1
Generation1_Scenario20,11.23,1.45,2.22,14.90,1
Generation1_Scenario21,11.26,1.49,2.31,15.05,1
Generation1_Scenario22,11.28,1.50,2.04,14.82,1
Generation1_Scenario23,11.23,1.43,2.02,14.67,1
Generation1_Scenario24,11.21,1.43,1.68,14.32,1
Generation1_Scenario25,11.22,1.43,1.61,14.26,1
Generation1_Scenario26,11.26,1.47,2.22,14.95,1
Generation1_Scenario27,11.25,1.51,2.00,14.77,1
Generation1_Scenario28,22.47,2.85,3.34,28.66,2
Generation1_Scenario29,11.26,1.43,1.75,14.44,1
Generation1_Scenario30,11.20,1.36,2.38,14.94,1
Generation1_Scenario31,11.22,1.38,2.12,14.73,1
Generation1_Scenario32,11.22,1.51,2.25,14.99,1
Generation1_Scenario33,11.21,1.41,1.86,14.48,1
Generation1_Scenario34,11.26,1.42,1.59,14.27,1
Generation1_Scenario35,11.24,1.44,1.66,14.34,1
Generation1_Scenario36,11.23,1.45,2.34,15.01,1
Generation1_Scenario37,11.27,1.44,2.20,14.90,1
Generation1_Scenario38,11.21,1.42,2.09,14.73,1
Generation1_Scenario39,11.24,1.45,1.75,14.43,1
Generation1_Scenario40,11.24,1.42,2.14,14.80,1
Generation1_Scenario41,11.21,1.43,1.83,14.48,1
Generation1_Scenario42,11.23,1.40,1.85,14.48,1
Generation1_Scenario43,11.22,1.44,2.14,14.80,1
Generation1_Scenario44,11.21,1.43,1.91,14.56,1
Generation1_Scenario45,11.21,1.39,1.92,14.52,1
Generation1_Scenario46,11.22,1.48,1.87,14.57,1
Generation1_Scenario47,11.23,1.42,2.72,15.37,1
Generation1_Scenario48,11.24,1.38,2.25,14.87,1
