RecordName,x_start,y_start,x_end,y_end
Generation31_Scenario33,586237.449622537,4141197.80124623,586184.203947521,4140181.39653627
Generation32_Scenario7,586390.032273447,4141469.58470241,587632.741906879,4141068.62334495
Generation34_Scenario48,587634.901433056,4140427.17822182,588575.448814412,4140796.49801872
Generation35_Scenario14,587012.354999061,4141579.60021675,586127.520600418,4140544.05558982
Generation36_Scenario33,586925.426742948,4140587.46000437,586239.962535286,4141295.48390383
Generation37_Scenario19,586130.583683119,4140120.2584047,586840.586865965,4140746.69033726
Generation42_Scenario43,587254.297450841,4140446.32201642,587356.29324101,4141301.80469151
Generation45_Scenario24,587635.171650462,4140441.06406113,586495.479707223,4141158.20164956
Generation48_Scenario15,586464.17419073,4140862.76334567,586128.47874996,4140779.69925467
Generation54_Scenario31,586172.859212802,4141301.46914542,586539.266342241,4140166.01875621
