record_name, violation_type, violation_info, scenario_id, related_options
Generation_0_Config_14_Scenario_1,collision,113265 : VEHICLE,1,43
Generation_0_Config_32_Scenario_1,collision,113265 : VEHICLE,1,159#174
Generation_0_Config_39_Scenario_1,collision,113265 : VEHICLE,1,204#242
Generation_0_Config_44_Scenario_0,module,planning failure,0,43#99
Generation_0_Config_44_Scenario_1,module,planning failure,1,43#99
Generation_0_Config_44_Scenario_2,module,planning failure,2,43#99
Generation_0_Config_44_Scenario_3,module,planning failure,3,43#99
Generation_0_Config_44_Scenario_4,module,planning failure,4,43#99
Generation_0_Config_44_Scenario_5,module,planning failure,5,43#99
Generation_0_Config_44_Scenario_6,collision,292440 : VEHICLE,6,43#99
Generation_0_Config_44_Scenario_6,collision,678202 : VEHICLE,6,43#99
Generation_0_Config_44_Scenario_6,module,planning failure,6,43#99
Generation_0_Config_44_Scenario_7,module,planning failure,7,43#99
Generation_0_Config_44_Scenario_8,module,planning failure,8,43#99
Generation_0_Config_44_Scenario_9,module,planning failure,9,43#99
Generation_0_Config_53_Scenario_8,comfort,Deceleration exceeded max,8,211
Generation_0_Config_55_Scenario_1,collision,113265 : VEHICLE,1,15#43#218
Generation_1_Config_1_Scenario_1,collision,113265 : VEHICLE,1,174#212#233
Generation_1_Config_4_Scenario_0,module,planning failure,0,43#99
Generation_1_Config_4_Scenario_1,module,planning failure,1,43#99
Generation_1_Config_4_Scenario_2,module,planning failure,2,43#99
Generation_1_Config_4_Scenario_3,module,planning failure,3,43#99
Generation_1_Config_4_Scenario_4,module,planning failure,4,43#99
Generation_1_Config_4_Scenario_5,module,planning failure,5,43#99
Generation_1_Config_4_Scenario_6,collision,292440 : VEHICLE,6,43#99
Generation_1_Config_4_Scenario_6,collision,678202 : VEHICLE,6,43#99
Generation_1_Config_4_Scenario_6,module,planning failure,6,43#99
Generation_1_Config_4_Scenario_7,module,planning failure,7,43#99
Generation_1_Config_4_Scenario_8,module,planning failure,8,43#99
Generation_1_Config_4_Scenario_9,module,planning failure,9,43#99
Generation_1_Config_6_Scenario_0,module,planning failure,0,99
Generation_1_Config_6_Scenario_1,module,planning failure,1,99
Generation_1_Config_6_Scenario_2,module,planning failure,2,99
Generation_1_Config_6_Scenario_3,module,planning failure,3,99
Generation_1_Config_6_Scenario_4,module,planning failure,4,99
Generation_1_Config_6_Scenario_5,module,planning failure,5,99
Generation_1_Config_6_Scenario_6,collision,292440 : VEHICLE,6,99
Generation_1_Config_6_Scenario_6,collision,678202 : VEHICLE,6,99
Generation_1_Config_6_Scenario_6,module,planning failure,6,99
Generation_1_Config_6_Scenario_7,module,planning failure,7,99
Generation_1_Config_6_Scenario_8,module,planning failure,8,99
Generation_1_Config_6_Scenario_9,module,planning failure,9,99
Generation_1_Config_9_Scenario_0,module,planning failure,0,43#99
Generation_1_Config_9_Scenario_1,module,planning failure,1,43#99
Generation_1_Config_9_Scenario_2,module,planning failure,2,43#99
Generation_1_Config_9_Scenario_3,module,planning failure,3,43#99
Generation_1_Config_9_Scenario_4,module,planning failure,4,43#99
Generation_1_Config_9_Scenario_5,module,planning failure,5,43#99
Generation_1_Config_9_Scenario_6,collision,292440 : VEHICLE,6,43#99
Generation_1_Config_9_Scenario_6,collision,678202 : VEHICLE,6,43#99
Generation_1_Config_9_Scenario_6,module,planning failure,6,43#99
Generation_1_Config_9_Scenario_7,module,planning failure,7,43#99
Generation_1_Config_9_Scenario_8,module,planning failure,8,43#99
Generation_1_Config_9_Scenario_9,module,planning failure,9,43#99
Generation_1_Config_12_Scenario_1,collision,113265 : VEHICLE,1,204#242
Generation_1_Config_15_Scenario_0,module,planning failure,0,43#99
Generation_1_Config_15_Scenario_1,module,planning failure,1,43#99
Generation_1_Config_15_Scenario_2,module,planning failure,2,43#99
Generation_1_Config_15_Scenario_3,module,planning failure,3,43#99
Generation_1_Config_15_Scenario_4,module,planning failure,4,43#99
Generation_1_Config_15_Scenario_5,module,planning failure,5,43#99
Generation_1_Config_15_Scenario_6,collision,292440 : VEHICLE,6,43#99
Generation_1_Config_15_Scenario_6,collision,678202 : VEHICLE,6,43#99
Generation_1_Config_15_Scenario_6,module,planning failure,6,43#99
Generation_1_Config_15_Scenario_7,module,planning failure,7,43#99
Generation_1_Config_15_Scenario_8,module,planning failure,8,43#99
