record_name, violation_type, violation_info, scenario_id, related_options
Generation_0_Config_9_Scenario_0,module,planning failure,0,107
Generation_0_Config_9_Scenario_1,module,planning failure,1,107
Generation_0_Config_9_Scenario_2,module,planning failure,2,107
Generation_0_Config_9_Scenario_3,module,planning failure,3,107
Generation_0_Config_9_Scenario_4,module,planning failure,4,107
Generation_0_Config_9_Scenario_5,module,planning failure,5,107
Generation_0_Config_9_Scenario_6,collision,292440: VEHICLE,6,107
Generation_0_Config_9_Scenario_6,collision,678202: VEHICLE,6,107
Generation_0_Config_9_Scenario_6,module,planning failure,6,107
Generation_0_Config_9_Scenario_7,module,planning failure,7,107
Generation_0_Config_9_Scenario_8,module,planning failure,8,107
Generation_0_Config_9_Scenario_9,module,planning failure,9,107
Generation_0_Config_16_Scenario_0,module,planning failure,0,107
Generation_0_Config_16_Scenario_1,module,planning failure,1,107
Generation_0_Config_16_Scenario_2,module,planning failure,2,107
Generation_0_Config_16_Scenario_3,module,planning failure,3,107
Generation_0_Config_16_Scenario_4,module,planning failure,4,107
Generation_0_Config_16_Scenario_5,module,planning failure,5,107
Generation_0_Config_16_Scenario_6,collision,292440: VEHICLE,6,107
Generation_0_Config_16_Scenario_6,collision,678202: VEHICLE,6,107
Generation_0_Config_16_Scenario_6,module,planning failure,6,107
Generation_0_Config_16_Scenario_7,module,planning failure,7,107
Generation_0_Config_16_Scenario_8,module,planning failure,8,107
Generation_0_Config_16_Scenario_9,module,planning failure,9,107
Generation_0_Config_33_Scenario_0,module,planning failure,0,99#256
Generation_0_Config_33_Scenario_1,module,planning failure,1,99#256
Generation_0_Config_33_Scenario_2,module,planning failure,2,99#256
Generation_0_Config_33_Scenario_3,module,planning failure,3,99#256
Generation_0_Config_33_Scenario_4,module,planning failure,4,99#256
Generation_0_Config_33_Scenario_5,module,planning failure,5,99#256
Generation_0_Config_33_Scenario_6,collision,292440: VEHICLE,6,99#256
Generation_0_Config_33_Scenario_6,collision,678202: VEHICLE,6,99#256
Generation_0_Config_33_Scenario_6,module,planning failure,6,99#256
Generation_0_Config_33_Scenario_7,module,planning failure,7,99#256
Generation_0_Config_33_Scenario_8,module,planning failure,8,99#256
Generation_0_Config_33_Scenario_9,module,planning failure,9,99#256
Generation_0_Config_39_Scenario_0,module,planning failure,0,107#148
Generation_0_Config_39_Scenario_1,module,planning failure,1,107#148
Generation_0_Config_39_Scenario_2,module,planning failure,2,107#148
Generation_0_Config_39_Scenario_3,module,planning failure,3,107#148
Generation_0_Config_39_Scenario_4,module,planning failure,4,107#148
Generation_0_Config_39_Scenario_5,module,planning failure,5,107#148
Generation_0_Config_39_Scenario_6,collision,292440: VEHICLE,6,107#148
Generation_0_Config_39_Scenario_6,collision,678202: VEHICLE,6,107#148
Generation_0_Config_39_Scenario_6,module,planning failure,6,107#148
Generation_0_Config_39_Scenario_7,module,planning failure,7,107#148
Generation_0_Config_39_Scenario_8,module,planning failure,8,107#148
Generation_0_Config_39_Scenario_9,module,planning failure,9,107#148
