record_name, violation_type, violation_info, scenario_id, related_options
Generation_0_Config_42_Scenario_0,module,planning failure,0,227
Generation_0_Config_42_Scenario_1,module,planning failure,1,227
Generation_0_Config_42_Scenario_2,module,planning failure,2,227
Generation_0_Config_42_Scenario_3,module,planning failure,3,227
Generation_0_Config_42_Scenario_4,module,planning failure,4,227
Generation_0_Config_42_Scenario_5,module,planning failure,5,227
Generation_0_Config_42_Scenario_6,collision,292440: VEHICLE,6,227
Generation_0_Config_42_Scenario_6,collision,678202: VEHICLE,6,227
Generation_0_Config_42_Scenario_6,module,planning failure,6,227
Generation_0_Config_42_Scenario_7,module,planning failure,7,227
Generation_0_Config_42_Scenario_8,module,planning failure,8,227
Generation_0_Config_42_Scenario_9,module,planning failure,9,227
Generation_1_Config_36_Scenario_2,collision,855363: VEHICLE,2,42#158#168
Generation_1_Config_38_Scenario_0,module,planning failure,0,21#99#155
Generation_1_Config_38_Scenario_1,module,planning failure,1,21#99#155
Generation_1_Config_38_Scenario_2,module,planning failure,2,21#99#155
Generation_1_Config_38_Scenario_3,module,planning failure,3,21#99#155
Generation_1_Config_38_Scenario_4,module,planning failure,4,21#99#155
Generation_1_Config_38_Scenario_5,module,planning failure,5,21#99#155
Generation_1_Config_38_Scenario_6,collision,292440: VEHICLE,6,21#99#155
Generation_1_Config_38_Scenario_6,collision,678202: VEHICLE,6,21#99#155
Generation_1_Config_38_Scenario_6,module,planning failure,6,21#99#155
Generation_1_Config_38_Scenario_7,module,planning failure,7,21#99#155
Generation_1_Config_38_Scenario_8,module,planning failure,8,21#99#155
Generation_1_Config_38_Scenario_9,module,planning failure,9,21#99#155
Generation_1_Config_59_Scenario_0,module,planning failure,0,99#126
Generation_1_Config_59_Scenario_1,module,planning failure,1,99#126
Generation_1_Config_59_Scenario_2,module,planning failure,2,99#126
Generation_1_Config_59_Scenario_3,module,planning failure,3,99#126
Generation_1_Config_59_Scenario_4,module,planning failure,4,99#126
Generation_1_Config_59_Scenario_5,module,planning failure,5,99#126
Generation_1_Config_59_Scenario_6,collision,292440: VEHICLE,6,99#126
Generation_1_Config_59_Scenario_6,collision,678202: VEHICLE,6,99#126
Generation_1_Config_59_Scenario_6,module,planning failure,6,99#126
Generation_1_Config_59_Scenario_7,module,planning failure,7,99#126
Generation_1_Config_59_Scenario_8,module,planning failure,8,99#126
Generation_1_Config_59_Scenario_9,module,planning failure,9,99#126
Generation_2_Config_15_Scenario_2,collision,855363: VEHICLE,2,42#158#168
Generation_2_Config_29_Scenario_0,module,planning failure,0,42#107#158#168
Generation_2_Config_29_Scenario_1,module,planning failure,1,42#107#158#168
Generation_2_Config_29_Scenario_2,module,planning failure,2,42#107#158#168
Generation_2_Config_29_Scenario_4,module,planning failure,4,42#107#158#168
Generation_2_Config_29_Scenario_5,module,planning failure,5,42#107#158#168
Generation_2_Config_29_Scenario_6,collision,292440: VEHICLE,6,42#107#158#168
Generation_2_Config_29_Scenario_6,collision,678202: VEHICLE,6,42#107#158#168
Generation_2_Config_29_Scenario_7,module,planning failure,7,42#107#158#168
Generation_2_Config_29_Scenario_8,module,planning failure,8,42#107#158#168
Generation_2_Config_45_Scenario_2,collision,855363: VEHICLE,2,42#158#163#168
Generation_2_Config_47_Scenario_1,module,planning failure,1,35#124#126#167#211
Generation_2_Config_47_Scenario_2,module,planning failure,2,35#124#126#167#211
Generation_2_Config_47_Scenario_3,module,planning failure,3,35#124#126#167#211
Generation_2_Config_47_Scenario_4,module,planning failure,4,35#124#126#167#211
Generation_2_Config_47_Scenario_5,module,planning failure,5,35#124#126#167#211
Generation_2_Config_47_Scenario_6,collision,292440: VEHICLE,6,35#124#126#167#211
Generation_2_Config_47_Scenario_6,collision,678202: VEHICLE,6,35#124#126#167#211
Generation_2_Config_47_Scenario_6,module,planning failure,6,35#124#126#167#211
Generation_2_Config_47_Scenario_7,module,planning failure,7,35#124#126#167#211
Generation_2_Config_47_Scenario_8,module,planning failure,8,35#124#126#167#211
Generation_2_Config_47_Scenario_9,module,planning failure,9,35#124#126#167#211
Generation_2_Config_54_Scenario_0,module,planning failure,0,31#60#79
Generation_2_Config_54_Scenario_1,module,planning failure,1,31#60#79
Generation_2_Config_54_Scenario_2,module,planning failure,2,31#60#79
Generation_2_Config_54_Scenario_3,module,planning failure,3,31#60#79
Generation_2_Config_54_Scenario_4,module,planning failure,4,31#60#79
Generation_2_Config_54_Scenario_5,module,planning failure,5,31#60#79
Generation_2_Config_54_Scenario_6,collision,292440: VEHICLE,6,31#60#79
Generation_2_Config_54_Scenario_6,collision,678202: VEHICLE,6,31#60#79
Generation_2_Config_54_Scenario_6,module,planning failure,6,31#60#79
Generation_2_Config_54_Scenario_7,module,planning failure,7,31#60#79
Generation_2_Config_54_Scenario_8,module,planning failure,8,31#60#79
Generation_2_Config_54_Scenario_9,module,planning failure,9,31#60#79
Generation_3_Config_12_Scenario_2,collision,855363: VEHICLE,2,42#158#168
Generation_3_Config_14_Scenario_2,collision,855363: VEHICLE,2,42#236
Generation_3_Config_22_Scenario_2,collision,855363: VEHICLE,2,42#158#168#185
Generation_3_Config_23_Scenario_2,collision,855363: VEHICLE,2,42#155#235
Generation_3_Config_27_Scenario_2,collision,855363: VEHICLE,2,42#158#168#198
Generation_3_Config_28_Scenario_2,collision,855363: VEHICLE,2,42#158#168#234
Generation_3_Config_29_Scenario_2,collision,855363: VEHICLE,2,42#158#163#168#267
